,location,salary,sector
51,Davenport,41445.35754824064,Entry Level
52,Altoona,60337.11691259932,Medical/Health
53,Dallas,49934.16572077185,Human Resources
54,Travis Heights,28608.11577752554,Customer Support/Client Care
55,Columbus,15604.426787741204,Marketing/Product
56,San Francisco,161245.74347332577,Experienced (Non-Manager)
57,Salisbury,78022.13393870601,Project/Program Management
58,Knoxville,38490.919409761635,Legal
59,Carlsbad,20805.90238365494,Accounting/Finance/Insurance
60,Smyrna,32769.29625425653,Experienced (Non-Manager)
61,Denver,45772.985244040865,Human Resources
62,Valencia,57216.23155505108,Human Resources
63,San Diego,30168.55845629966,Accounting/Finance/Insurance
64,Pleasanton,41611.80476730988,Accounting/Finance/Insurance
65,San Marcos,21846.197502837684,Accounting/Finance/Insurance
66,Fletcher,39531.21452894439,Experienced (Non-Manager)
67,Raleigh,92586.26560726447,IT/Software Development
68,Spartanburg,43692.39500567537,Medical/Health
69,Chapel Hill,35370.03405221339,Entry Level
70,Akron,28608.11577752554,Experienced (Non-Manager)
71,Greer,43692.39500567537,Medical/Health
72,Sevierville,36410.329171396144,Entry Level
73,Miami,109230.98751418843,IT/Software Development
74,Rancho Cordova,140439.84108967084,Experienced (Non-Manager)
75,Saint Charles,29128.263337116914,Experienced (Non-Manager)
76,Princeton Township,178410.61293984108,Experienced (Non-Manager)
77,Mount Prospect,32207.536889897845,Medical/Health
78,Greer,92586.26560726447,IT/Software Development
79,Mcqueeny,39531.21452894439,Experienced (Non-Manager)
80,Cleveland,47853.57548240636,Experienced (Non-Manager)
81,Santa Clara,119633.93870601589,Experienced (Non-Manager)
82,Washington,85304.19977298524,Experienced (Non-Manager)
83,Good Morning,88425.0851305335,IT/Software Development
84,Field Service Technician,2080.590238365494,IT/Software Development
85,Lexington,39531.21452894439,Experienced (Non-Manager)
86,Orlando,65538.59250851306,IT/Software Development
87,Boca Raton,104029.51191827469,IT/Software Development
88,Heathrow,67619.18274687855,Entry Level
89,Fairfax,40571.50964812713,Experienced (Non-Manager)
90,Knoxville,98828.03632236096,IT/Software Development
91,Knoxville,41653.416572077185,Legal
92,St. Petersburg,26007.37797956867,Experienced (Non-Manager)
93,Kansas City,24967.082860385926,Experienced (Non-Manager)
94,Richardson,29128.263337116914,Medical/Health
95,Circleville,47853.57548240636,Medical/Health
96,West Chester,93626.56072644722,Systems Analysis - ITWeb/UI/UX Design
97,West Chester,62417.707150964816,Experienced (Non-Manager)
98,Analyst,35370.03405221339,IT/Software Development
99,Business Analyst,78022.13393870601,IT/Software Development
100,Temple Terrace,62417.707150964816,Quality Assurance/Safety
101,Pennsauken,33809.591373439274,Experienced (Non-Manager)
102,Environmental,2080.590238365494,Quality Assurance/Safety
103,Dublin,33289.4438138479,Experienced (Non-Manager)
104,Columbus,21180.408626560726,Entry Level
105,Columbus,18725.312145289445,Medical/Health
106,Columbus,26007.37797956867,Entry Level
107,Columbus,31208.853575482408,Experienced (Non-Manager)
108,Columbus,47198.189557321224,Installation/Maintenance/Repair
109,Columbus,43692.39500567537,Engineering
110,Columbus,135238.3654937571,IT/Software Development
111,Columbus,20805.90238365494,Entry Level
112,Columbus,46813.28036322361,Experienced (Non-Manager)
113,Columbus,45273.64358683314,Entry Level
114,Columbus,28087.96821793417,Entry Level
115,Columbus,223663.4506242906,Experienced (Non-Manager)
116,Columbus,23926.78774120318,Student (High School)
117,Columbus,36087.837684449485,Experienced (Non-Manager)
118,Columbus,33289.4438138479,Entry Level
119,Columbus,23926.78774120318,Entry Level
120,Columbus,24967.082860385926,Student (High School)
121,Columbus,26007.37797956867,Entry Level
122,Columbus,23926.78774120318,Medical/Health
123,Columbus,23926.78774120318,Entry Level
124,Columbus,32249.148694665157,Experienced (Non-Manager)
125,Rancho Cucamonga,34329.73893303065,Experienced (Non-Manager)
126,Irvine,72820.65834279229,Experienced (Non-Manager)
127,Washington,67327.90011350738,Legal
128,Columbus,26007.37797956867,Experienced (Non-Manager)
129,Oklahoma City,75941.54370034052,Experienced (Non-Manager)
130,Southfield,28087.96821793417,Experienced (Non-Manager)
131,Tampa,24967.082860385926,Experienced (Non-Manager)
132,Tampa,39531.21452894439,Experienced (Non-Manager)
133,Roseland,62937.85471055619,Experienced (Non-Manager)
134,Denver,36410.329171396144,Experienced (Non-Manager)
135,Westbury,39531.21452894439,Experienced (Non-Manager)
136,Louisville,31208.853575482408,Experienced (Non-Manager)
137,Daytona Beach,24967.082860385926,Experienced (Non-Manager)
138,Flushing,31208.853575482408,Entry Level
139,Seattle,15604.426787741204,Experienced (Non-Manager)
140,Armonk,43692.39500567537,Entry Level
141,Auburn,28087.96821793417,Experienced (Non-Manager)
142,San Diego,35370.03405221339,Experienced (Non-Manager)
143,Denver,67619.18274687855,Experienced (Non-Manager)
144,Dallas,114432.46311010217,IT/Software Development
145,DallasTX,20805.90238365494,Accounting/Finance/Insurance
146,Dallas,124835.41430192963,Experienced (Non-Manager)
147,Dallas,41611.80476730988,Experienced (Non-Manager)
148,Wheeling,44732.69012485812,Manufacturing/Production/Operations
149,Orlando,29128.263337116914,Entry Level
150,East Chicago,19037.40068104427,Food Services/Hospitality
151,Camden,65538.59250851306,Food Services/Hospitality
152,San Juan,30667.90011350738,Legal
153,Edison,45772.985244040865,Experienced (Non-Manager)
154,Malden,36410.329171396144,Installation/Maintenance/Repair
155,Buffalo,31208.853575482408,Experienced (Non-Manager)
156,Atlanta,52014.75595913734,IT/Software Development
157,Orlando,14564.131668558457,Accounting/Finance/Insurance
158,Atlanta,45772.985244040865,Marketing/Product
159,Atlanta,68659.4778660613,Medical/Health
160,Las Vegas,31208.853575482408,Sales/Retail/Business Development
161,Madison,56550.442678774125,Experienced (Non-Manager)
162,Las Vegas,33289.4438138479,Experienced (Non-Manager)
163,Madison,31812.2247446084,Administrative/Clerical
164,Las Vegas,78022.13393870601,Medical/Health
165,Madison,36410.329171396144,Accounting/Finance/Insurance
166,Madison,24967.082860385926,Entry Level
167,Las Vegas,40571.50964812713,Experienced (Non-Manager)
168,Madison,22886.492622020432,Experienced (Non-Manager)
169,Madison,59192.79228149829,General/Other: Medical/HealthVeterinary/Animal Care
170,Knoxville,27047.67309875142,Accounting/Finance/Insurance
171,Las Vegas,22366.34506242906,Customer Support/Client Care
172,MadisonWI,84263.9046538025,IT/Software Development
173,Las Vegas,52014.75595913734,Human Resources
174,Madison,42485.65266742339,Veterinary/Animal Care
175,Madison,31604.165720771853,Banking/Real Estate/Mortgage Professionals
176,Madison,31812.2247446084,Administrative/Clerical
177,Las Vegas,31208.853575482408,Customer Support/Client Care
178,Delaware,23042.53688989784,Experienced (Non-Manager)
179,San Antonio,69699.77298524404,Entry Level
180,El Paso,68659.4778660613,Experienced (Non-Manager)
181,Frisco,102989.21679909194,Medical/Health
182,Rockville,72820.65834279229,Experienced (Non-Manager)
183,Saint Charles,29128.263337116914,Experienced (Non-Manager)
184,Bethesda,23042.53688989784,Experienced (Non-Manager)
185,Aurora,26007.37797956867,Entry Level
186,Clinton,21846.197502837684,Security/Protective Services
187,San Diego,21846.197502837684,Accounting/Finance/Insurance
188,Irvine,18725.312145289445,Manufacturing/Production/Operations
189,Woodinville,25944.96027241771,Career Level Entry Level
190,Sioux Falls,33289.4438138479,Experienced (Non-Manager)
191,Tacoma,32249.148694665157,Career Level Experienced (Non-Manager)
192,Denver,28087.96821793417,Logistics/Transportation
193,San Francisco,75941.54370034052,Experienced (Non-Manager)
194,Austin,31208.853575482408,Customer Support/Client Care
195,Atlanta,32249.148694665157,Human Resources
196,Rogers,43692.39500567537,Experienced (Non-Manager)
197,Canyon Crest,37450.62429057889,Experienced (Non-Manager)
198,Miami Gardens,23406.640181611805,Entry Level
199,Souderton,33289.4438138479,Experienced (Non-Manager)
200,Twin Falls,36410.329171396144,Installation/Maintenance/Repair
201,Birmingham,34329.73893303065,Entry Level
202,Kenilworth,29128.263337116914,Entry Level
203,Colorado Springs,8842.508513053348,Entry Level
204,Belmar,27047.67309875142,Manufacturing/Production/Operations
205,Woodinville,26007.37797956867,Installation/Maintenance/Repair
206,Jacksonville,35370.03405221339,Experienced (Non-Manager)
207,Englewood,31729.00113507378,Experienced (Non-Manager)
208,Spring Grove,30168.55845629966,Entry Level
209,Kent,41611.80476730988,Experienced (Non-Manager)
210,Greer,53055.051078320095,Experienced (Non-Manager)
211,Bedford,44732.69012485812,Experienced (Non-Manager)
212,Denver,41611.80476730988,Student (High School)
213,New Brighton,57216.23155505108,Experienced (Non-Manager)
214,Jacksonville,34069.665153234964,Experienced (Non-Manager)
215,Brockport,56862.53121452894,Installation/Maintenance/Repair
216,Manchester,24967.082860385926,Manufacturing/Production/Operations
217,Raymond,23614.699205448356,Manufacturing/Production/Operations
218,La Mesa,52014.75595913734,Experienced (Non-Manager)
219,Golden,30168.55845629966,Manufacturing/Production/Operations
220,Shrewsbury,28087.96821793417,Entry Level
221,Sterling Heights,29128.263337116914,Student (Undergraduate/Graduate)
222,Santa Clara,39531.21452894439,Entry Level
223,Evansville,44732.69012485812,Experienced (Non-Manager)
224,Schaumburg,32249.148694665157,Experienced (Non-Manager)
225,Huntington Station,47853.57548240636,Experienced (Non-Manager)
226,Chicago,44732.69012485812,Student (Undergraduate/Graduate)
227,Newark,23406.640181611805,Entry Level
228,Energy,28087.96821793417,Experienced (Non-Manager)
229,Billerica,30168.55845629966,Experienced (Non-Manager)
230,Cincinnati,36410.329171396144,Entry Level
231,Little Falls,45772.985244040865,Experienced (Non-Manager)
232,Nashville,46813.28036322361,Experienced (Non-Manager)
233,Schertz,41611.80476730988,Experienced (Non-Manager)
234,Fresno,22886.492622020432,Entry Level
235,Fremont,22886.492622020432,Manufacturing/Production/Operations
236,Smyrna,39489.60272417707,Experienced (Non-Manager)
237,Denver,36410.329171396144,Manufacturing/Production/Operations
238,Raymond,38803.00794551646,Manufacturing/Production/Operations
239,West Windsor,35370.03405221339,Experienced (Non-Manager)
240,King Of Prussia,23406.640181611805,Experienced (Non-Manager)
241,Romeoville,35370.03405221339,Entry Level
242,Columbus,47198.189557321224,Installation/Maintenance/Repair
243,Omaha,12483.541430192963,Entry Level
244,Twin Falls,45637.74687854711,Experienced (Non-Manager)
245,El Paso,23926.78774120318,Manufacturing/Production/Operations
246,Cleveland,39531.21452894439,Manager (Manager/Supervisor of Staff)
247,Leetonia,34329.73893303065,Experienced (Non-Manager)
248,Katy,47687.12826333712,Experienced (Non-Manager)
249,Multiple locations,62417.707150964816,Experienced (Non-Manager)
250,China Lake Nwc,30688.706015891035,Installation/Maintenance/Repair
251,Salt Lake City,24218.07037457435,Entry Level
252,Milwaukee,40571.50964812713,Installation/Maintenance/Repair
253,North Ridgeville,50974.4608399546,Experienced (Non-Manager)
254,Eden Prairie,24967.082860385926,Manufacturing/Production/Operations
255,Neenah,26007.37797956867,Entry Level
256,Athens,45637.74687854711,Experienced (Non-Manager)
257,Ames,32041.089670828605,Experienced (Non-Manager)
258,Katy,41580.595913734396,Experienced (Non-Manager)
259,Gainesville,26007.37797956867,Experienced (Non-Manager)
260,Nashville,13284.568671963678,Entry Level
261,Schererville,22886.492622020432,Manufacturing/Production/Operations
262,Milpitas,35370.03405221339,Entry Level
263,Bremerton,40571.50964812713,Installation/Maintenance/Repair
264,Raymond,26007.37797956867,Entry Level
265,San Leandro,29128.263337116914,Entry Level
266,Manchester,49934.16572077185,Experienced (Non-Manager)
267,Little Rock,46813.28036322361,Experienced (Non-Manager)
268,Stockton,42652.09988649262,Experienced (Non-Manager)
269,Raymond,41923.893303064695,Manufacturing/Production/Operations
270,Franklin,28348.041997729855,Manufacturing/Production/Operations
271,Akron,44732.69012485812,Experienced (Non-Manager)
272,Rogers,46813.28036322361,Experienced (Non-Manager)
273,Freeport 16229,37450.62429057889,Experienced (Non-Manager)
274,Aurora,52014.75595913734,Experienced (Non-Manager)
275,Machesney Park,33289.4438138479,Experienced (Non-Manager)
276,Vancouver,28087.96821793417,Manufacturing/Production/Operations
277,Chardon,43692.39500567537,Installation/Maintenance/Repair
278,Kings Bay,34475.38024971623,Experienced (Non-Manager)
279,Ayer,36618.38819523269,Experienced (Non-Manager)
280,Batesville,24967.082860385926,Experienced (Non-Manager)
281,Richmond,35370.03405221339,Experienced (Non-Manager)
282,Mount Pleasant,20805.90238365494,Manufacturing/Production/Operations
283,Levittown,33809.591373439274,Experienced (Non-Manager)
284,Statesville,25487.2304199773,Experienced (Non-Manager)
285,Cleveland,20805.90238365494,Entry Level
286,Monrovia,50974.4608399546,Experienced (Non-Manager)
287,Brockport,56862.53121452894,Manufacturing/Production/Operations
288,Mount Juliet,27047.67309875142,Student (High School)
289,Troy,27047.67309875142,Entry Level
290,Julian,26007.37797956867,Entry Level
291,Greer,53055.051078320095,Experienced (Non-Manager)
292,Kings Mountain,20805.90238365494,Entry Level
293,Neptune City,41611.80476730988,Manufacturing/Production/Operations
294,Long Beach,39531.21452894439,Entry Level
295,Wausau,29128.263337116914,Manufacturing/Production/Operations
296,Northampton,46813.28036322361,Entry Level
297,Hudson,33289.4438138479,Experienced (Non-Manager)
298,Alameda,23978.802497162316,Entry Level
299,Hudson,32249.148694665157,Experienced (Non-Manager)
300,Riverside,37450.62429057889,Manufacturing/Production/Operations
301,Oak Lawn,26007.37797956867,Manufacturing/Production/Operations
302,Cleveland,37450.62429057889,Experienced (Non-Manager)
303,Cleveland,36410.329171396144,Experienced (Non-Manager)
304,Tool & Die Maker,42652.09988649262,Manufacturing/Production/Operations
305,Ellet,33289.4438138479,Manufacturing/Production/Operations
306,Elizabethtown,43692.39500567537,Manufacturing/Production/Operations
307,Ames,32041.089670828605,Experienced (Non-Manager)
308,Auburn,46813.28036322361,Experienced (Non-Manager)
309,Cleveland,35370.03405221339,Experienced (Non-Manager)
310,Centennial,30688.706015891035,Experienced (Non-Manager)
311,Valley City,28087.96821793417,Experienced (Non-Manager)
312,Kansas City,48893.87060158911,Manufacturing/Production/Operations
313,Michigan City,20805.90238365494,Experienced (Non-Manager)
314,St. Louis,30480.64699205448,Manufacturing/Production/Operations
315,Gurnee,32249.148694665157,Experienced (Non-Manager)
316,Salem,51879.51759364359,Experienced (Non-Manager)
317,Warwick,23926.78774120318,Experienced (Non-Manager)
318,Milwaukee,43172.247446083995,Logistics/Transportation
319,Madison,75306.96367763905,Experienced (Non-Manager)
320,Environmental,2080.590238365494,Quality Assurance/Safety
321,Dallas,109230.98751418843,Project/Program Management
322,Austin,28087.96821793417,Entry Level
323,Austin,30168.55845629966,Experienced (Non-Manager)
324,Waterbury,83223.60953461975,Editorial/Writing
325,San Diego,19765.607264472193,Accounting/Finance/Insurance
326,San Diego,18725.312145289445,Accounting/Finance/Insurance
327,San Diego,16644.72190692395,Accounting/Finance/Insurance
328,San Diego,29128.263337116914,Experienced (Non-Manager)
329,San Diego,27047.67309875142,Accounting/Finance/Insurance
330,San Diego,17685.017026106696,Accounting/Finance/Insurance
331,San Diego,29128.263337116914,Experienced (Non-Manager)
332,San Diego,22886.492622020432,Accounting/Finance/Insurance
333,San Diego,20805.90238365494,Accounting/Finance/Insurance
334,Saint Louis,22886.492622020432,Marketing/Product
335,Breinigsville,37450.62429057889,Customer Support/Client Care
336,Hudson,43692.39500567537,Customer Support/Client Care
337,Dallas,39531.21452894439,IT/Software Development
338,Saint Petersburg,27047.67309875142,Customer Support/Client Care
339,Springfield,27047.67309875142,Sales/Retail/Business Development
340,Sacramento,34132.082860385926,Entry Level
341,Arlington,31208.853575482408,Experienced (Non-Manager)
342,Denver,62417.707150964816,Building Construction/Skilled Trades
343,Chicago,54095.34619750284,Human Resources
344,San Francisco,64498.29738933031,Accounting/Finance/Insurance
345,BostonMA,26007.37797956867,Administrative/Clerical
346,Fort Worth,29128.263337116914,Biotech/R&D/Science
347,Associate Scientist,44732.69012485812,Biotech/R&D/Science
348,Chemist III,67619.18274687855,Biotech/R&D/Science
349,Jacksonville,37450.62429057889,Human Resources
350,San Leandro,55135.641316685585,Human Resources
351,San Antonio,68659.4778660613,Experienced (Non-Manager)
352,Greer,151883.08740068105,IT/Software Development
353,Akron,28608.11577752554,Experienced (Non-Manager)
354,Technical Writer (Junior),2080.590238365494,IT/Software Development
355,Kansas City,56175.93643586834,IT/Software Development
356,Santa Clara,119633.93870601589,Experienced (Non-Manager)
357,Chesterbrook,41611.80476730988,Human Resources
358,Asheville,88425.0851305335,IT/Software Development
359,Pittsburgh,40176.197502837684,Legal
360,Providence,46667.639046538025,Legal
361,Syracuse,45606.538024971625,Legal
362,Portland,37180.14755959138,Legal
363,Melrose Park,24967.082860385926,Logistics/Transportation
364,ChicagoIL,39531.21452894439,Administrative/Clerical
365,Cincinnati,104029.51191827469,Database Development/Administration
366,Cincinnati,62417.707150964816,IT/Software Development
367,Addison,41611.80476730988,Experienced (Non-Manager)
368,Nashville,31208.853575482408,Quality Assurance/Safety
369,Taylor,44732.69012485812,Experienced (Non-Manager)
370,Saint Paul,140439.84108967084,Project/Program Management
371,Des Moines,48893.87060158911,Project/Program Management
372,Little Rock,109230.98751418843,Experienced (Non-Manager)
373,Columbus,48893.87060158911,Experienced (Non-Manager)
374,Baton Rouge,31208.853575482408,Quality Assurance/Safety
375,Project Coordinator,42652.09988649262,Project/Program Management
376,Horn LakeMS,36410.329171396144,Project/Program Management
377,Project Coordinator,63458.00227014756,Project/Program Management
378,Aston 19014,89465.38024971624,Project/Program Management
379,Milwaukee,31208.853575482408,Quality Assurance/Safety
380,Denver,31208.853575482408,Quality Assurance/Safety
381,Cleveland,33289.4438138479,Experienced (Non-Manager)
382,Belton,41611.80476730988,Experienced (Non-Manager)
383,Washington,52014.75595913734,Manager (Manager/Supervisor of Staff)
384,Cleveland,145641.31668558458,Experienced (Non-Manager)
385,Omaha,37242.565266742335,Quality Assurance/Safety
386,Warwick,34329.73893303065,Experienced (Non-Manager)
387,Thousand Oaks,140439.84108967084,Experienced (Non-Manager)
388,Newark,31208.853575482408,Quality Assurance/Safety
389,Portland,31208.853575482408,Quality Assurance/Safety
390,Wilmington,109230.98751418843,Experienced (Non-Manager)
391,Spanish Flat,27047.67309875142,Experienced (Non-Manager)
392,Chicago,31208.853575482408,Project/Program Management
393,Plano,83223.60953461975,Experienced (Non-Manager)
394,Peabody,48893.87060158911,Experienced (Non-Manager)
395,Sacramento,31208.853575482408,Quality Assurance/Safety
396,Phoenix,31208.853575482408,Quality Assurance/Safety
397,Overland Park,88425.0851305335,Experienced (Non-Manager)
398,Peabody,48893.87060158911,Experienced (Non-Manager)
399,Franklin,46813.28036322361,Experienced (Non-Manager)
400,Grove City,31208.853575482408,Experienced (Non-Manager)
401,Glenview,57216.23155505108,Experienced (Non-Manager)
402,Harrisburg,33289.4438138479,Project/Program Management
403,Project Manager,104029.51191827469,Project/Program Management
404,Oak Grove,52014.75595913734,Experienced (Non-Manager)
405,Wallingford,46813.28036322361,Experienced (Non-Manager)
406,Valencia,52014.75595913734,Quality Assurance/Safety
407,Peabody,66578.8876276958,Experienced (Non-Manager)
408,Plano 75024,80882.94551645857,Experienced (Non-Manager)
409,Jackson,29128.263337116914,Experienced (Non-Manager)
410,Irvine,75941.54370034052,Experienced (Non-Manager)
411,Hodgenville,40571.50964812713,Manager (Manager/Supervisor of Staff)
412,Rockford,35370.03405221339,Student (High School)
413,Riverside,28087.96821793417,Student (Undergraduate/Graduate)
414,Leawood,31208.853575482408,Entry Level
415,Seattle,130036.88989784337,Experienced (Non-Manager)
416,New Haven,47853.57548240636,Entry Level
417,Mount Prospect,33289.4438138479,Experienced (Non-Manager)
418,Dallas,26028.18388195233,Quality Assurance/Safety
419,Los Angeles,31208.853575482408,Quality Assurance/Safety
420,Loudon,31208.853575482408,Entry Level
421,Bedford,46813.28036322361,Experienced (Non-Manager)
422,Bedford,35370.03405221339,Experienced (Non-Manager)
423,Middletown,31208.853575482408,Quality Assurance/Safety
424,Palm Beach,45741.776390465384,Entry Level
425,Azusa,37450.62429057889,Experienced (Non-Manager)
426,Moreno Valley,28087.96821793417,Quality Assurance/Safety
427,Plano,107150.39727582294,Quality Assurance/Safety
428,City Of Industry,31208.853575482408,Entry Level
429,Cleveland,30168.55845629966,Experienced (Non-Manager)
430,Tampa,31208.853575482408,Experienced (Non-Manager)
431,High Point,28087.96821793417,Accounting/Finance/Insurance
432,Buffalo,72820.65834279229,Experienced (Non-Manager)
433,West Monroe,31323.28603859251,Entry Level
434,Minneapolis,32457.207718501704,Accounting/Finance/Insurance
435,Boston,52014.75595913734,Accounting/Finance/Insurance
436,Atlanta,26007.37797956867,Experienced (Non-Manager)
437,Atlanta,63458.00227014756,Medical/Health
438,Marysville,19765.607264472193,Entry Level
439,Sacramento,22886.492622020432,Logistics/Transportation
440,Atlanta,41611.80476730988,Engineering
441,East Point,18725.312145289445,Entry Level
442,Minneapolis,58256.52667423383,Installation/Maintenance/Repair
443,Prescott,52014.75595913734,Installation/Maintenance/Repair
444,Middleton,26506.719636776394,Installation/Maintenance/Repair
445,Louisville,31208.853575482408,Installation/Maintenance/Repair
446,San Diego,59400.85130533485,Installation/Maintenance/Repair
447,Painesville,22886.492622020432,Entry Level
448,Fort Lauderdale,15604.426787741204,Manager (Manager/Supervisor of Staff)
449,Shawnee,31208.853575482408,Entry Level
450,Baton Rouge,15604.426787741204,Entry Level
451,Palo Alto,46813.28036322361,Food Services/Hospitality
452,Colorado Springs,24707.00908059024,Student (High School)
453,Los Altos,62417.707150964816,Entry Level
454,Newark,18725.312145289445,Entry Level
455,NashvilleTN,39531.21452894439,Accounting/Finance/Insurance
456,West Monroe,31323.28603859251,Entry Level
457,San Leandro,50974.4608399546,Accounting/Finance/Insurance
458,Longview,22335.136208853575,Career Level Entry Level
459,Redmond,28087.96821793417,Entry Level
460,Conroe,27047.67309875142,Manufacturing/Production/Operations
461,Havre De Grace,32249.148694665157,Manufacturing/Production/Operations
462,Gainesville,17685.017026106696,Entry Level
463,Santa Rosa,34329.73893303065,Installation/Maintenance/Repair
464,Clifton Heights,43692.39500567537,Experienced (Non-Manager)
465,Wyoming,17685.017026106696,Entry Level
466,New Oxford,21638.138479001136,Manufacturing/Production/Operations
467,Clifton Heights,43692.39500567537,Experienced (Non-Manager)
468,Conroe,27047.67309875142,Manufacturing/Production/Operations
469,De Pere,42652.09988649262,Experienced (Non-Manager)
470,Boston,34329.73893303065,Accounting/Finance/Insurance
471,Peabody,46813.28036322361,Medical/Health
472,Boston,34329.73893303065,Accounting/Finance/Insurance
473,Peabody,93626.56072644722,Medical/Health
474,Boston,34329.73893303065,Accounting/Finance/Insurance
475,BostonMA,16644.72190692395,Administrative/Clerical
476,Columbus,30168.55845629966,Accounting/Finance/Insurance
477,Ramsey,40571.50964812713,Accounting/Finance/Insurance
478,Fort Worth,48893.87060158911,Accounting/Finance/Insurance
479,Cleveland,32249.148694665157,Accounting/Finance/Insurance
480,Miami,37450.62429057889,Experienced (Non-Manager)
481,Jacksonville,28087.96821793417,Accounting/Finance/Insurance
482,Grand Rapids,32249.148694665157,Accounting/Finance/Insurance
483,San Antonio,38490.919409761635,Experienced (Non-Manager)
484,Dallas,20805.90238365494,Installation/Maintenance/Repair
485,Rocklin,57216.23155505108,Installation/Maintenance/Repair
486,Alpharetta,27047.67309875142,Sales/Retail/Business Development
487,Dallas,33289.4438138479,Experienced (Non-Manager)
488,DallasTX,26007.37797956867,Accounting/Finance/Insurance
489,Dallas,38490.919409761635,Customer Support/Client Care
490,Dallas,48893.87060158911,Entry Level
491,Irving,22366.34506242906,Experienced (Non-Manager)
492,Dallas,29128.263337116914,Entry Level
493,Dallas,46813.28036322361,Experienced (Non-Manager)
494,Irving,52014.75595913734,Experienced (Non-Manager)
495,DallasTX,20805.90238365494,Accounting/Finance/Insurance
496,Dallas,46813.28036322361,Experienced (Non-Manager)
497,Irving,24967.082860385926,Experienced (Non-Manager)
498,Irving,83223.60953461975,IT/Software Development
499,Dallas,46813.28036322361,Experienced (Non-Manager)
500,Dallas,22886.492622020432,Logistics/Transportation
501,Dallas,27047.67309875142,Customer Support/Client Care
502,Dallas,29128.263337116914,Experienced (Non-Manager)
503,Dallas,29128.263337116914,Experienced (Non-Manager)
504,Dallas,27047.67309875142,Entry Level
505,Dallas,57216.23155505108,Experienced (Non-Manager)
506,DallasTX,50974.4608399546,Accounting/Finance/Insurance
507,Dallas,43172.247446083995,Logistics/Transportation
508,DallasTX,21846.197502837684,Accounting/Finance/Insurance
509,IrvingTX,30168.55845629966,Accounting/Finance/Insurance
510,DallasTX,19765.607264472193,Accounting/Finance/Insurance
511,Dallas,33289.4438138479,Manager (Manager/Supervisor of Staff)
512,Dallas,145641.31668558458,IT/Software Development
513,Dallas,24967.082860385926,Sales/Retail/Business Development
514,Dallas,130036.88989784337,IT/Software Development
515,Dallas,57216.23155505108,Experienced (Non-Manager)
516,Dallas,62417.707150964816,Systems Analysis - IT
517,Dallas,104029.51191827469,IT/Software Development
518,Dallas,28087.96821793417,Experienced (Non-Manager)
519,DallasTX,18725.312145289445,Accounting/Finance/Insurance
520,DallasTX,18205.164585698072,Accounting/Finance/Insurance
521,Dallas,21846.197502837684,Entry Level
