,location,salary,sector
37,CA,40.00 - 40.00 $ /hour,Experienced (Non-Manager)
38,NV,"70,000.00 - 80,000.00 $ /year",Accounting/Finance/Insurance
39,NV,"50,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
40,CA,0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
41,MA,16.00 - 23.00 $ /hour,Accounting/Finance/Insurance
42,MI,15.00 - 18.00 $ /hour,Accounting/Finance/Insurance
43,FL,10.00 - 11.00 $ /year,Food Services/Hospitality
44,MA,"0.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
45,MI,20.00 - 26.00 $ /hour,Accounting/Finance/Insurance
46,TX,"$30,000.00+ /yearplus benefits",Entry Level
47,NJ,12.00 - 14.00 $ /hour,Experienced (Non-Manager)
48,FL,11.85 - 11.85 $ /hour,Security/Protective Services
49,DE,14.00 - 14.00 $ /hour,Experienced (Non-Manager)
50,CA,$10.87+ /hour,Entry Level
51,MA,$12.00+ /hour,Security/Protective Services
52,NY,30.93 - 30.93 $ /hour,Security/Protective Services
53,VA,15.00 - 17.00 $ /hour,Security/Protective Services
54,MD,20.00 - 23.00 $ /hour,Security/Protective Services
55,FL,0.00 - 12.25 $ /hourPlus benefits,Experienced (Non-Manager)
56,,13.45 - 13.45 $ /hour,Security/Protective Services
57,TX,55.00 - 65.00 $ /hour,IT/Software Development
58,NJ,"40,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
59,OH,11.00 - 11.00 $ /hourBenefits Package,Entry Level
60,FL,11.00 - 13.00 $ /hour,Security/Protective Services
61,CO,"40,000.00 - 60,000.00 $ /year",Building Construction/Skilled Trades
62,TX,"100,000.00 - 130,000.00 $ /year",Medical/Health
63,FL,13.00 - 13.00 $ /hour,Security/Protective Services
64,TX,12.00 - 15.00 $ /hour,Experienced (Non-Manager)
65,MN,$16.40+ /hour,Security/Protective Services
66,TX,13.00 - 13.00 $ /hour,Administrative/Clerical
67,DE,14.00 - 14.00 $ /hour,Experienced (Non-Manager)
68,TX,55.00 - 65.00 $ /hour,IT/Software Development
69,CO,"55,000.00 - 65,000.00 $ /yearBase + Uncapped Commissions + Benefits",Experienced (Non-Manager)
70,TX,"$120,000.00+ /year",IT/Software Development
71,NY,26.92 - 26.92 $ /hour,Security/Protective Services
72,WA,15.00 - 21.90 $ /hour,Experienced (Non-Manager)
73,TX,"55,000.00 - 75,000.00 $ /year",Building Construction/Skilled Trades
74,MA,$13.50+ /hour,Security/Protective Services
75,TX,"55,000.00 - 75,000.00 $ /year",Human Resources
76,CO,16.00 - 18.00 $ /hour,Customer Support/Client Care
77,IN,9.50 - 11.00 $ /hourBenefits + Annual Bonus,Entry Level
78,CO,"80,000.00 - 90,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
79,IA,19.50 - 19.50 $ /hour,Security/Protective Services
80,TX,14.00 - 15.00 $ /hour,Administrative/Clerical
81,FL,"54,058.00 - 79,174.00 $ /year",Experienced (Non-Manager)
82,CO,"35,000.00 - 55,000.00 $ /year",Building Construction/Skilled Trades
83,TX,35.00 - 50.00 $ /hour,IT/Software Development
84,CO,"$4,000 Sign-On Bonus",Experienced (Non-Manager)
85,TX,"54,000.00 - 66,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.? Do Not Hesitate, Apply Today.? Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
86,TX,"$120,000.00+ /year",IT/Software Development
87,CO,13.00 - 15.00 $ /year,Building Construction/Skilled Trades
88,CO,"$1,100.00+ /week",Experienced (Non-Manager)
89,OH,25.00 - 35.00 $ /hour,IT/Software Development
90,TX,100.00 - 120.00 $ /hour,IT/Software Development
91,CA,30.00 - 35.00 $ /hour,IT/Software Development
92,TN,"72,000.00 - 75,000.00 $ /year",IT/Software Development
93,IA,20.00 - 20.00 $ /hour,Experienced (Non-Manager)
94,NJ,"170,000.00 - 200,000.00 $ /year",IT/Software Development
95,TX,0.00 - 20.00 $ /hour,IT/Software Development
96,TN,"75,000.00 - 85,000.00 $ /year",IT/Software Development
97,TX,75.00 - 100.00 $ /hour,IT/Software Development
98,TN,25.00 - 35.00 $ /hour,IT/Software Development
99,SC,25.00 - 35.00 $ /hour,IT/Software Development
100,TX,55.00 - 75.00 $ /hour,IT/Software Development
101,WI,"150,000.00 - 160,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
102,SC,"$50,000.00+ /year",IT/Software Development
103,TX,"100,000.00 - 120,000.00 $ /year",Experienced (Non-Manager)
104,,70.00 - 80.00 $ /hour,IT/Software Development
105,WI,25.00 - 35.00 $ /hour,IT/Software Development
106,NJ,"80,000.00 - 220,000.00 $ /year",Biotech/R&D/Science
107,NC,26.00 - 32.00 $ /hour,Biotech/R&D/Science
108,FL,10.00 - 12.00 $ /hour,Sales/Retail/Business Development
109,IL,"?75,000.00 - 105,000.00 $ /year",Quality Assurance/Safety
110,IL,"?70,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
111,CA,19.00 - 19.00 $ /hour,Experienced (Non-Manager)
112,IL,"?95,000.00 - 105,000.00 $ /year",Quality Assurance/Safety
113,,12.00 - 14.00 $ /hour,Quality Assurance/Safety
114,KY,"80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
115,pH,20.00 - 26.00 $ /hour,Biotech/R&D/Science
116,GA,"120,000.00 - 140,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
117,,30.00 - 33.00 $ /hour,Quality Assurance/Safety
118,WI,"?75,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
119,IA,19.92 - 19.92 $ /hour,Entry Level
120,TX,"55,000.00 - 60,000.00 $ /year",Quality Assurance/Safety
121,MO,"?75,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
122,OH,"45,000.00 - 55,000.00 $ /year",Quality Assurance/Safety
123,KY,"80,000.00 - 85,000.00 $ /year",Quality Assurance/Safety
124,TX,"75,000.00 - 85,000.00 $ /year",Quality Assurance/Safety
125,,"100,000.00 - 130,000.00 $ /year",Quality Assurance/Safety
126,AL,"65,000.00 - 65,000.00 $ /year",General/Other: Food Services
127,NC,"50,000.00 - 65,000.00 $ /year",Food Services/Hospitality
128,PA,26.00 - 32.00 $ /hour,Medical/Health
129,GA,"75,000.00 - 75,000.00 $ /year",Experienced (Non-Manager)
130,TX,24.00 - 24.00 $ /hour,Human Resources
131,,30.00 - 35.00 $ /hour,Human Resources
132,GA,"50,000.00 - 60,000.00 $ /year",Sales/Retail/Business Development
133,TX,"175,000.00 - 175,000.00 $ /year",IT/Software Development
134,GA,"60,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
135,GA,"55,000.00 - 75,000.00 $ /year",Food Services/Hospitality
136,GA,"20,000.00 - 21,000.00 $ /year",Manufacturing/Production/Operations
137,TX,"90,000.00 - 110,000.00 $ /year",Project/Program Management
138,,"65,000.00 - 131,000.00 $ /year",Sales/Retail/Business Development
139,GA,"$40,000.00+ /year",Sales/Retail/Business Development
140,TX,13.50 - 14.00 $ /hour,Customer Support/Client Care
141,OH,0.00 - 15.00 $ /hour,Marketing/Product
142,CA,70.00 - 85.00 $ /hour,Experienced (Non-Manager)
143,TN,"85,000.00 - 125,000.00 $ /year",Manager (Manager/Supervisor of Staff)
144,CA,"70,000.00 - 90,000.00 $ /year",Manager (Manager/Supervisor of Staff)
145,PA,"50,000.00 - 60,000.00 $ /year",Manager (Manager/Supervisor of Staff)
146,PA,"35,000.00 - 40,000.00 $ /year",Entry Level
147,CA,"$50,000.00+ /yearbase salary plus bonus",Manager (Manager/Supervisor of Staff)
148,NC,35.00 - 40.00 $ /hour,Project/Program Management
149,WY,"0.00 - 125,000.00 $ /year",Project/Program Management
150,FL,"42,000.00 - 48,000.00 $ /year",Marketing/Product
151,IL,"90,000.00 - 120,000.00 $ /year+ profit sharing",Manager (Manager/Supervisor of Staff)
152,FL,"60,000.00 - 80,000.00 $ /year10% Bonus",Manager (Manager/Supervisor of Staff)
153,TX,"90,000.00 - 110,000.00 $ /year",Building Construction/Skilled Trades
154,TX,"115,000.00 - 124,500.00 $ /year",IT/Software Development
155,TX,"85,000.00 - 110,000.00 $ /year",Building Construction/Skilled Trades
156,TN,15.00 - 22.00 $ /hour,Legal
157,TX,"60,000.00 - 75,000.00 $ /year",Building Construction/Skilled Trades
158,MO,"35,000.00 - 85,000.00 $ /year",Business/Strategic Management
159,KS,"60,000.00 - 70,000.00 $ /year",Engineering
160,MO,"70,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
161,,"65,000.00 - 120,000.00 $ /year",Engineering
162,CA,"0.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
163,NY,"95,000.00 - 105,000.00 $ /year",Accounting/Finance/Insurance
164,NY,"60,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
165,NY,"80,000.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
166,NM,"60,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
167,FL,"0.00 - 55,000.00 $ /year",Accounting/Finance/Insurance
168,NJ,"60,000.00 - 80,000.00 $ /year",Accounting/Finance/Insurance
169,NJ,"30,000.00 - 150,000.00 $ /year",Human Resources
170,NY,"65,000.00 - 100,000.00 $ /year",Accounting/Finance/Insurance
171,MA,"50,000.00 - 60,000.00 $ /year",Human Resources
172,NY,"130,000.00 - 175,000.00 $ /year",Accounting/Finance/Insurance
173,NY,"50,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
174,IL,"5,000.00 - 58,000.00 $ /year",Accounting/Finance/Insurance
175,FL,"45,000.00 - 50,000.00 $ /year",Accounting/Finance/Insurance
176,CA,"50,000.00 - 55,000.00 $ /year",Accounting/Finance/Insurance
177,CA,0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
178,NY,"65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
179,NJ,"110,000.00 - 125,000.00 $ /year",Accounting/Finance/Insurance
180,CA,"40,000.00 - 50,000.00 $ /year",Accounting/Finance/Insurance
181,IL,"65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
182,WI,"80,000.00 - 110,000.00 $ /year",Accounting/Finance/Insurance
183,TN,15.50 - 16.00 $ /hour,Experienced (Non-Manager)
184,TX,"85,000.00 - 95,000.00 $ /year",Accounting/Finance/Insurance
185,CO,20.00 - 24.00 $ /hour,Human Resources
186,CA,25.00 - 30.00 $ /hour,Human Resources
187,CA,"110,000.00 - 120,000.00 $ /year",Accounting/Finance/Insurance
188,CA,0.00 - 29.00 $ /hour,Accounting/Finance/Insurance
189,CA,"60,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
190,CA,18.00 - 22.00 $ /hour,Accounting/Finance/Insurance
191,CA,0.00 - 21.00 $ /hour,Accounting/Finance/Insurance
192,FL,"30,000.00 - 31,000.00 $ /year",Accounting/Finance/Insurance
193,FL,"50,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
194,NJ,"60,000.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
195,GA,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
196,DE,"75,000.00 - 90,000.00 $ /year",Sales/Retail/Business Development
197,CO,"50,000.00 - 150,000.00 $ /year",Sales/Retail/Business Development
198,MD,"0.00 - 70,000.00 $ /year",Sales/Retail/Business Development
199,IA,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
200,IL,"75,000.00 - 90,000.00 $ /year",Sales/Retail/Business Development
201,MA,"95,000.00 - 115,000.00 $ /year",Accounting/Finance/Insurance
202,WI,"40,000.00 - 55,000.00 $ /year",Food Services/Hospitality
203,IA,"65,000.00 - 80,000.00 $ /year?",Food Services/Hospitality
204,TX,"60,000.00 - 75,000.00 $ /yearpackage",Manager (Manager/Supervisor of Staff)
205,TX,"95,000.00 - 110,000.00 $ /year",Manager (Manager/Supervisor of Staff)
206,TX,"75,000.00 - 85,000.00 $ /year",Manager (Manager/Supervisor of Staff)
207,TX,"60,000.00 - 75,000.00 $ /yearPACKAGE",Manager (Manager/Supervisor of Staff)
208,CA,Up to $18.00,Experienced (Non-Manager)
209,IN,11.00 - 13.00 $ /year,Entry Level
210,FL,Up to $13.00,Experienced (Non-Manager)
211,CA,"80,000.00 - 95,000.00 $ /year",Experienced (Non-Manager)
212,IN,"25,000.00 - 30,000.00 $ /yearbonus, tips and comp time",Experienced (Non-Manager)
213,CA,Up to $18.00,Experienced (Non-Manager)
214,,100.00 - 110.00 $ /year,IT/Software Development
215,FL,Up to $14.00,Experienced (Non-Manager)
216,TX,"17,688.94 - 20,971.00 $ /month",Manager (Manager/Supervisor of Staff)
217,CA,Up to $18.00,Experienced (Non-Manager)
218,FL,"35,000.00 - 35,000.00 $ /year",Experienced (Non-Manager)
219,AL,"40,000.00 - 55,000.00 $ /year",Experienced (Non-Manager)
220,TN,"90,000.00 - 95,000.00 $ /year",IT/Software Development
221,FL,Up to $15.00,Experienced (Non-Manager)
222,TN,"0.00 - 110,000.00 $ /year",IT/Software Development
223,OK,18.00 - 20.00 $ /hour,Experienced (Non-Manager)
224,NJ,1.00 - 2.00 $ /year5,Experienced (Non-Manager)
225,OK,"30,000.00 - 35,000.00 $ /year",Experienced (Non-Manager)
226,NC,43.00 - 46.00 $ /hour,IT/Software Development
227,SC,20.00 - 22.00 $ /hour,Medical/Health
228,VA,"160,000.00 - 170,000.00 $ /year30-35k bonus incentives",Manager (Manager/Supervisor of Staff)
229,FL,"36,000.00 - 38,000.00 $ /year",Experienced (Non-Manager)
230,TX,Up to $30000.00,Experienced (Non-Manager)
231,MN,"32,000.00 - 42,000.00 $ /year",Experienced (Non-Manager)
232,NY,"95,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
233,NC,15.00 - 19.00 $ /hourgenerous benefit package,Entry Level
234,FL,"51,708.80 - 81,475.47 $ /year",Experienced (Non-Manager)
235,CA,"126,006.00 - 141,773.00 $ /year$8,000 Recruitment Incentive Pay may be available.",Manager (Manager/Supervisor of Staff)
236,NV,Up to $10.00,Experienced (Non-Manager)
237,TX,"3,137.89 - 3,865.66 $ /month",Experienced (Non-Manager)
238,OH,13.75 - 13.75 $ /hour,Experienced (Non-Manager)
239,SC,20.00 - 22.00 $ /hour,Medical/Health
240,OH,"75,000.00 - 85,000.00 $ /year",IT/Software Development
241,,48.00 - 55.00 $ /hour,Experienced (Non-Manager)
242,MO,"100,000.00 - 135,000.00 $ /yearPTO, 401K",Experienced (Non-Manager)
243,TN,"10.00 - 25.00 $ /hourBenefits (401K, Health Insurance) and bonuses are potentials",Entry Level
244,CA,"108,493.00 - 108,493.00 $ /year",Experienced (Non-Manager)
245,FL,"70,000.00 - 85,000.00 $ /year",IT/Software Development
246,TX,"50,000.00 - 65,000.00 $ /year",IT/Software Development
247,FL,50.00 - 55.00 $ /hour,IT/Software Development
248,CA,65.00 - 70.00 $ /hour,Experienced (Non-Manager)
249,MO,12.00 - 16.00 $ /hour,Experienced (Non-Manager)
250,NJ,84.00 - 87.50 $ /hour,Experienced (Non-Manager)
251,TX,"50,000.00 - 70,000.00 $ /year",Medical/Health
252,KY,"$70,000.00+ /year",Manager (Manager/Supervisor of Staff)
253,FL,Up to $15.00,Experienced (Non-Manager)
254,FL,Up to $13.50,Experienced (Non-Manager)
255,CT,"45,000.00 - 60,000.00 $ /yearHealth Benefits",Experienced (Non-Manager)
256,CA,Up to $31000.00,Experienced (Non-Manager)
257,DC,"100,000.00 - 115,000.00 $ /year",Experienced (Non-Manager)
258,MD,"100,000.00 - 130,000.00 $ /year",IT/Software Development
259,FL,Up to $14.00,Experienced (Non-Manager)
260,CA,Up to $150000.00,Experienced (Non-Manager)
261,IL,15.00 - 15.96 $ /hour,Medical/Health
262,FL,"85,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
263,TX,"62,000.00 - 78,000.00 $ /yearpaid time off, health/life insurance, 401K",Manager (Manager/Supervisor of Staff)
264,SC,40.00 - 49.00 $ /hour,IT/Software Development
265,TX,18.00 - 20.00 $ /hour,Experienced (Non-Manager)
266,CA,Up to $92000.00,Experienced (Non-Manager)
267,OH,23.00 - 23.00 $ /hour,Experienced (Non-Manager)
268,NC,"80,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
269,CA,55.00 - 60.00 $ /hour,Experienced (Non-Manager)
270,NH,"75,000.00 - 85,000.00 $ /year",Medical/Health
271,DC,38.00 - 44.00 $ /hour,Experienced (Non-Manager)
272,TX,"17,688.94 - 20,971.00 $ /month",Manager (Manager/Supervisor of Staff)
273,NJ,"35,000.00 - 45,000.00 $ /year",Experienced (Non-Manager)
274,TX,"6,833.33 - 8,060.00 $ /month",Experienced (Non-Manager)
275,,40.00 - 45.00 $ /hour,IT/Software Development
276,TX,"4,224.31 - 6,579.41 $ /month",Experienced (Non-Manager)
277,TX,"55,000.00 - 70,000.00 $ /year",Medical/Health
278,OH,"40,000.00 - 50,000.00 $ /year",Entry Level
279,MN,"32,500.00 - 33,800.00 $ /yearpaid training, Paid Time Off (PTO), Health and Dental insurance options, flexible scheduling, mileage reimbursement, cell phone stipend, laptop computer",Entry Level
280,OH,"65,000.00 - 72,000.00 $ /year",Manager (Manager/Supervisor of Staff)
281,CA,"85,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
282,KS,Up to $40.00,Experienced (Non-Manager)
283,NY,750.00 - 800.00 $ /year,Experienced (Non-Manager)
284,,1.00 - 1.00 $ /hour,IT/Software Development
285,KY,18.00 - 20.00 $ /hour,Experienced (Non-Manager)
286,WA,"$84,800.00+ /yearRelocation",Manager (Manager/Supervisor of Staff)
287,OH,"60,000.00 - 65,000.00 $ /year",Entry Level
288,OH,"90,000.00 - 130,000.00 $ /year",IT/Software Development
289,FL,30.00 - 33.00 $ /hour,IT/Software Development
290,VA,"70,000.00 - 75,000.00 $ /yearFull comprehensive benefits (PTO, Health, Dental, Vision, LTD, and 401K matching, etc)",Experienced (Non-Manager)
291,NY,"35,000.00 - 52,000.00 $ /year",Experienced (Non-Manager)
292,FL,Up to $14.00,Experienced (Non-Manager)
293,TX,"4,905.22 - 6,579.41 $ /month",Experienced (Non-Manager)
294,MO,"70,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
295,KS,Up to $55.00,Experienced (Non-Manager)
296,FL,45.00 - 55.00 $ /hour,IT/Software Development
297,GA,"80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
298,FL,40.00 - 55.00 $ /yearCTP,Experienced (Non-Manager)
299,CA,Up to $92000.00,Experienced (Non-Manager)
300,CA,Up to $18.00,Experienced (Non-Manager)
301,TX,"185,000.00 - 195,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
302,FL,Up to $42.00,Experienced (Non-Manager)
303,MN,"70.00 - 80.00 $ /yearFull benefits, 401k with company match.",Experienced (Non-Manager)
304,FL,30.00 - 35.00 $ /hour,Entry Level
305,VA,18.00 - 21.00 $ /hour,Experienced (Non-Manager)
306,TN,$13.00+ /hour,Experienced (Non-Manager)
307,NY,40.00 - 40.00 $ /year,Manager (Manager/Supervisor of Staff)
308,MA,"84,000.00 - 104,000.00 $ /year",Experienced (Non-Manager)
309,LA,Up to $25.00,Experienced (Non-Manager)
310,TN,"28,000.00 - 32,000.00 $ /year",Other
311,TN,"85,000.00 - 100,000.00 $ /year",IT/Software Development
312,TN,45.00 - 50.00 $ /hour,IT/Software Development
313,TN,20.02 - 20.02 $ /hour,Legal
314,TX,"54,000.00 - 75,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.? Do Not Hesitate, Apply Today.? Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
315,TX,"64,000.00 - 90,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.? Do Not Hesitate, Apply Today.? Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
316,TN,"75,000.00 - 90,000.00 $ /year",IT/Software Development
317,MI,"$50,627.00+ /year",Accounting/Finance/Insurance
318,NH,"60,000.00 - 70,000.00 $ /year",Experienced (Non-Manager)
319,FL,12.00 - 13.00 $ /hour,Experienced (Non-Manager)
320,,"35,000.00 - 40,000.00 $ /year",Accounting/Finance/Insurance
321,MO,12.00 - 12.00 $ /hour,Experienced (Non-Manager)
322,IL,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
323,VA,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
324,TX,14.00 - 14.00 $ /hour,Medical/Health
325,OH,23.00 - 23.00 $ /hour,Medical/Health
326,IN,"30,000.00 - 40,000.00 $ /yearSalary based upon professional experience, profit share benefits, Life benefits, Medical insurance",Manager (Manager/Supervisor of Staff)
327,FL,"75,000.00 - 85,000.00 $ /year",Experienced (Non-Manager)
328,MO,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
329,CA,"80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
330,MA,"0.00 - 36,000.00 $ /year",Accounting/Finance/Insurance
331,CA,Up to $60000.00,Experienced (Non-Manager)
332,IN,"40,000.00 - 50,000.00 $ /year",Accounting/Finance/Insurance
333,KY,"40,000.00 - 65,000.00 $ /year",Food Services/Hospitality
334,OH,40.00 - 50.00 $ /hour,Systems Analysis - ITWeb/UI/UX Design
335,OH,"90,000.00 - 95,000.00 $ /year",IT/Software Development
336,OH,25.00 - 35.00 $ /hour,Experienced (Non-Manager)
337,,16.00 - 18.00 $ /hour,IT/Software Development
338,OH,"0.00 - 75,000.00 $ /year",Customer Support/Client Care
339,OH,"50,000.00 - 70,000.00 $ /year",Account Management (Commissioned)Insurance Agent/BrokerFinancial Products Sales/Brokerage
340,,35.00 - 40.00 $ /hour,IT/Software Development
341,FL,"80,000.00 - 105,000.00 $ /year",Medical/Health
342,IL,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
343,GA,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
344,IL,"85,000.00 - 85,000.00 $ /year",Experienced (Non-Manager)
345,FL,25.00 - 35.00 $ /hour,Quality Assurance/Safety
346,MO,"40,000.00 - 50,000.00 $ /year",Experienced (Non-Manager)
347,NJ,16.25 - 16.25 $ /hour,Experienced (Non-Manager)
348,,1.00 - 1.00 $ /hour,Quality Assurance/Safety
349,IL,"?40,000.00 - 42,000.00 $ /year",Experienced (Non-Manager)
350,,1.00 - 2.00 $ /year,Quality Assurance/Safety
351,OH,"38,000.00 - 48,000.00 $ /yearMedical Benefits",Experienced (Non-Manager)
352,OH,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
353,OH,14.00 - 18.00 $ /hour,Experienced (Non-Manager)
354,OH,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
355,OH,"55,000.00 - 60,000.00 $ /year",Entry Level
356,OH,8.10 - 12.26 $ /hour,Entry Level
357,,25.50 - 25.50 $ /hour,Accounting/Finance/Insurance
358,OH,"150,000.00 - 155,000.00 $ /yearuncapped commission, full benefits, paid expenses",Experienced (Non-Manager)
359,OH,"75,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
360,OH,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
361,OH,"82,064.00 - 106,683.00 $ /year",Manager (Manager/Supervisor of Staff)
362,OH,0.00 - 18.00 $ /hour,Medical/Health
363,OH,12.00 - 13.00 $ /hour,Entry Level
364,OH,"40,000.00 - 45,000.00 $ /year",Installation/Maintenance/Repair
365,OH,"14.00 - 16.00 $ /hourHousing Discount, Commision/Bonus",Experienced (Non-Manager)
366,OH,"60,000.00 - 70,000.00 $ /yearCommissions, Car Allowance, Bonus",Experienced (Non-Manager)
367,OH,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
368,,33.00 - 33.00 $ /hour,Manufacturing/Production/Operations
369,OH,"28,000.00 - 35,000.00 $ /year",Entry Level
370,OH,20.56 - 24.81 $ /hour,Installation/Maintenance/Repair
371,OH,"40,000.00 - 60,000.00 $ /year",Sales/Retail/Business Development
372,,22.50 - 22.50 $ /hour,Accounting/Finance/Insurance
373,OH,"35,000.00 - 60,000.00 $ /year",Experienced (Non-Manager)
374,OH,"55,000.00 - 60,000.00 $ /year",Experienced (Non-Manager)
375,OH,"35,000.00 - 45,000.00 $ /yearBenefits Package, Relocation Support",Experienced (Non-Manager)
376,OH,20.00 - 22.00 $ /hour,Engineering
377,OH,"45,000.00 - 50,000.00 $ /yearCompetitive Benefits Package",Experienced (Non-Manager)
378,OH,"42,000.00 - 48,000.00 $ /year",Experienced (Non-Manager)
379,OH,"$60,000.00+ /yearCompetitive Benefits Package",Experienced (Non-Manager)
380,OH,"95,000.00 - 105,000.00 $ /year",Manager (Manager/Supervisor of Staff)
