,location,salary,sector
33,Florida,11.00 - 13.00 $ /hour,Security/Protective Services
34,Colorado,"40,000.00 - 60,000.00 $ /year",Building Construction/Skilled Trades
35,Texas,"100,000.00 - 130,000.00 $ /year",Medical/Health
36,Florida,13.00 - 13.00 $ /hour,Security/Protective Services
37,Texas,12.00 - 15.00 $ /hour,Experienced (Non-Manager)
38,Texas,13.00 - 13.00 $ /hour,Administrative/Clerical
39,Delaware,14.00 - 14.00 $ /hour,Experienced (Non-Manager)
40,Texas,55.00 - 65.00 $ /hour,IT/Software Development
41,Colorado,"55,000.00 - 65,000.00 $ /yearBase + Uncapped Commissions + Benefits",Experienced (Non-Manager)
42,New York,26.92 - 26.92 $ /hour,Security/Protective Services
43,Washington,15.00 - 21.90 $ /hour,Experienced (Non-Manager)
44,Texas,"55,000.00 - 75,000.00 $ /year",Building Construction/Skilled Trades
45,Texas,"55,000.00 - 75,000.00 $ /year",Human Resources
46,Colorado,16.00 - 18.00 $ /hour,Customer Support/Client Care
47,Indiana,9.50 - 11.00 $ /hourBenefits + Annual Bonus,Entry Level
48,Colorado,"80,000.00 - 90,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
49,Iowa,19.50 - 19.50 $ /hour,Security/Protective Services
50,Texas,14.00 - 15.00 $ /hour,Administrative/Clerical
51,Florida,"54,058.00 - 79,174.00 $ /year",Experienced (Non-Manager)
52,Colorado,"35,000.00 - 55,000.00 $ /year",Building Construction/Skilled Trades
53,Texas,35.00 - 50.00 $ /hour,IT/Software Development
54,Colorado,"$4,000 Sign-On Bonus",Experienced (Non-Manager)
55,Texas,"54,000.00 - 66,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.? Do Not Hesitate, Apply Today.? Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
56,Colorado,13.00 - 15.00 $ /year,Building Construction/Skilled Trades
57,Ohio,25.00 - 35.00 $ /hour,IT/Software Development
58,Texas,100.00 - 120.00 $ /hour,IT/Software Development
59,California,30.00 - 35.00 $ /hour,IT/Software Development
60,Tennessee,"72,000.00 - 75,000.00 $ /year",IT/Software Development
61,Iowa,20.00 - 20.00 $ /hour,Experienced (Non-Manager)
62,New jersey,"170,000.00 - 200,000.00 $ /year",IT/Software Development
63,Texas,0.00 - 20.00 $ /hour,IT/Software Development
64,Tennessee,"75,000.00 - 85,000.00 $ /year",IT/Software Development
65,Texas,75.00 - 100.00 $ /hour,IT/Software Development
66,Tennessee,25.00 - 35.00 $ /hour,IT/Software Development
67,South carolina,25.00 - 35.00 $ /hour,IT/Software Development
68,Texas,55.00 - 75.00 $ /hour,IT/Software Development
69,Wisconsin,"150,000.00 - 160,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
70,Texas,"100,000.00 - 120,000.00 $ /year",Experienced (Non-Manager)
71,Wisconsin,25.00 - 35.00 $ /hour,IT/Software Development
72,New jersey,"80,000.00 - 220,000.00 $ /year",Biotech/R&D/Science
73,North Carolina,26.00 - 32.00 $ /hour,Biotech/R&D/Science
74,Florida,10.00 - 12.00 $ /hour,Sales/Retail/Business Development
75,Illinois,"75,000.00 - 105,000.00 $ /year",Quality Assurance/Safety
76,Illinois,"70,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
77,California,19.00 - 19.00 $ /hour,Experienced (Non-Manager)
78,Illinois,"95,000.00 - 105,000.00 $ /year",Quality Assurance/Safety
79,Kentucky,"80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
80,Kentucky,20.00 - 26.00 $ /hour,Biotech/R&D/Science
81,Georgia,"120,000.00 - 140,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
82,Wisconsin,"75,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
83,Iowa,19.92 - 19.92 $ /hour,Entry Level
84,Texas,"55,000.00 - 60,000.00 $ /year",Quality Assurance/Safety
85,Missouri,"75,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
86,Ohio,"45,000.00 - 55,000.00 $ /year",Quality Assurance/Safety
87,Kentucky,"80,000.00 - 85,000.00 $ /year",Quality Assurance/Safety
88,Texas,"75,000.00 - 85,000.00 $ /year",Quality Assurance/Safety
89,Alabama,"65,000.00 - 65,000.00 $ /year",General/Other: Food Services
90,North Carolina,"50,000.00 - 65,000.00 $ /year",Food Services/Hospitality
91,Pennsylvania,26.00 - 32.00 $ /hour,Medical/Health
92,Georgia,"75,000.00 - 75,000.00 $ /year",Experienced (Non-Manager)
93,Texas,24.00 - 24.00 $ /hour,Human Resources
94,Georgia,"50,000.00 - 60,000.00 $ /year",Sales/Retail/Business Development
95,Texas,"175,000.00 - 175,000.00 $ /year",IT/Software Development
96,Georgia,"60,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
97,Georgia,"55,000.00 - 75,000.00 $ /year",Food Services/Hospitality
98,Georgia,"20,000.00 - 21,000.00 $ /year",Manufacturing/Production/Operations
99,Texas,"90,000.00 - 110,000.00 $ /year",Project/Program Management
100,Texas,13.50 - 14.00 $ /hour,Customer Support/Client Care
101,Ohio,0.00 - 15.00 $ /hour,Marketing/Product
102,California,70.00 - 85.00 $ /hour,Experienced (Non-Manager)
103,Tennessee,"85,000.00 - 125,000.00 $ /year",Manager (Manager/Supervisor of Staff)
104,California,"70,000.00 - 90,000.00 $ /year",Manager (Manager/Supervisor of Staff)
105,Pennsylvania,"50,000.00 - 60,000.00 $ /year",Manager (Manager/Supervisor of Staff)
106,Pennsylvania,"35,000.00 - 40,000.00 $ /year",Entry Level
107,North Carolina,35.00 - 40.00 $ /hour,Project/Program Management
108,Wyoming,"0.00 - 125,000.00 $ /year",Project/Program Management
109,Florida,"42,000.00 - 48,000.00 $ /year",Marketing/Product
110,Illinois,"90,000.00 - 120,000.00 $ /year+ profit sharing",Manager (Manager/Supervisor of Staff)
111,Florida,"60,000.00 - 80,000.00 $ /year10% Bonus",Manager (Manager/Supervisor of Staff)
112,Texas,"90,000.00 - 110,000.00 $ /year",Building Construction/Skilled Trades
113,Texas,"115,000.00 - 124,500.00 $ /year",IT/Software Development
114,Texas,"85,000.00 - 110,000.00 $ /year",Building Construction/Skilled Trades
115,Tennessee,15.00 - 22.00 $ /hour,Legal
116,Texas,"60,000.00 - 75,000.00 $ /year",Building Construction/Skilled Trades
117,Missouri,"35,000.00 - 85,000.00 $ /year",Business/Strategic Management
118,Kansas,"60,000.00 - 70,000.00 $ /year",Engineering
119,Missouri,"70,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
120,California,"0.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
121,New York,"95,000.00 - 105,000.00 $ /year",Accounting/Finance/Insurance
122,New York,"60,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
123,New York,"80,000.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
124,New mexico,"60,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
125,Florida,"0.00 - 55,000.00 $ /year",Accounting/Finance/Insurance
126,New jersey,"60,000.00 - 80,000.00 $ /year",Accounting/Finance/Insurance
127,New jersey,"30,000.00 - 150,000.00 $ /year",Human Resources
128,New York,"65,000.00 - 100,000.00 $ /year",Accounting/Finance/Insurance
129,Massachusetts,"50,000.00 - 60,000.00 $ /year",Human Resources
130,New York,"130,000.00 - 175,000.00 $ /year",Accounting/Finance/Insurance
131,New York,"50,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
132,Illinois,"5,000.00 - 58,000.00 $ /year",Accounting/Finance/Insurance
133,Florida,"45,000.00 - 50,000.00 $ /year",Accounting/Finance/Insurance
134,California,"50,000.00 - 55,000.00 $ /year",Accounting/Finance/Insurance
135,California,0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
136,New York,"65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
137,New jersey,"110,000.00 - 125,000.00 $ /year",Accounting/Finance/Insurance
138,California,"40,000.00 - 50,000.00 $ /year",Accounting/Finance/Insurance
139,Illinois,"65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
140,Wisconsin,"80,000.00 - 110,000.00 $ /year",Accounting/Finance/Insurance
141,Tennessee,15.50 - 16.00 $ /hour,Experienced (Non-Manager)
142,Texas,"85,000.00 - 95,000.00 $ /year",Accounting/Finance/Insurance
143,Colorado,20.00 - 24.00 $ /hour,Human Resources
144,California,25.00 - 30.00 $ /hour,Human Resources
145,California,"110,000.00 - 120,000.00 $ /year",Accounting/Finance/Insurance
146,California,0.00 - 29.00 $ /hour,Accounting/Finance/Insurance
147,California,"60,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
148,California,18.00 - 22.00 $ /hour,Accounting/Finance/Insurance
149,California,0.00 - 21.00 $ /hour,Accounting/Finance/Insurance
150,Florida,"30,000.00 - 31,000.00 $ /year",Accounting/Finance/Insurance
151,Florida,"50,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
152,New jersey,"60,000.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
153,Georgia,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
154,Delaware,"75,000.00 - 90,000.00 $ /year",Sales/Retail/Business Development
155,Colorado,"50,000.00 - 150,000.00 $ /year",Sales/Retail/Business Development
156,Maryland,"0.00 - 70,000.00 $ /year",Sales/Retail/Business Development
157,Iowa,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
158,Illinois,"75,000.00 - 90,000.00 $ /year",Sales/Retail/Business Development
159,Massachusetts,"95,000.00 - 115,000.00 $ /year",Accounting/Finance/Insurance
160,Wisconsin,"40,000.00 - 55,000.00 $ /year",Food Services/Hospitality
161,Iowa,"65,000.00 - 80,000.00 $ /year?",Food Services/Hospitality
162,Texas,"60,000.00 - 75,000.00 $ /yearpackage",Manager (Manager/Supervisor of Staff)
163,Texas,"95,000.00 - 110,000.00 $ /year",Manager (Manager/Supervisor of Staff)
164,Texas,"75,000.00 - 85,000.00 $ /year",Manager (Manager/Supervisor of Staff)
165,Texas,"60,000.00 - 75,000.00 $ /yearPACKAGE",Manager (Manager/Supervisor of Staff)
166,Indiana,11.00 - 13.00 $ /year,Entry Level
167,California,"80,000.00 - 95,000.00 $ /year",Experienced (Non-Manager)
168,Indiana,"25,000.00 - 30,000.00 $ /yearbonus, tips and comp time",Experienced (Non-Manager)
169,Texas,"17,688.94 - 20,971.00 $ /month",Manager (Manager/Supervisor of Staff)
170,Florida,"35,000.00 - 35,000.00 $ /year",Experienced (Non-Manager)
171,Alabama,"40,000.00 - 55,000.00 $ /year",Experienced (Non-Manager)
172,Tennessee,"90,000.00 - 95,000.00 $ /year",IT/Software Development
173,Tennessee,"0.00 - 110,000.00 $ /year",IT/Software Development
174,Oklahoma,18.00 - 20.00 $ /hour,Experienced (Non-Manager)
175,New jersey,1.00 - 2.00 $ /year5,Experienced (Non-Manager)
176,Oklahoma,"30,000.00 - 35,000.00 $ /year",Experienced (Non-Manager)
177,North Carolina,43.00 - 46.00 $ /hour,IT/Software Development
178,South carolina,20.00 - 22.00 $ /hour,Medical/Health
179,Virginia,"160,000.00 - 170,000.00 $ /year30-35k bonus incentives",Manager (Manager/Supervisor of Staff)
180,Florida,"36,000.00 - 38,000.00 $ /year",Experienced (Non-Manager)
181,Minnesota,"32,000.00 - 42,000.00 $ /year",Experienced (Non-Manager)
182,New York,"95,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
183,North Carolina,15.00 - 19.00 $ /hourgenerous benefit package,Entry Level
184,Florida,"51,708.80 - 81,475.47 $ /year",Experienced (Non-Manager)
185,California,"126,006.00 - 141,773.00 $ /year$8,000 Recruitment Incentive Pay may be available.",Manager (Manager/Supervisor of Staff)
186,Texas,"3,137.89 - 3,865.66 $ /month",Experienced (Non-Manager)
187,Ohio,13.75 - 13.75 $ /hour,Experienced (Non-Manager)
188,South carolina,20.00 - 22.00 $ /hour,Medical/Health
189,Ohio,"75,000.00 - 85,000.00 $ /year",IT/Software Development
190,Missouri,"100,000.00 - 135,000.00 $ /yearPTO, 401K",Experienced (Non-Manager)
191,Tennessee,"10.00 - 25.00 $ /hourBenefits (401K, Health Insurance) and bonuses are potentials",Entry Level
192,California,"108,493.00 - 108,493.00 $ /year",Experienced (Non-Manager)
193,Florida,"70,000.00 - 85,000.00 $ /year",IT/Software Development
194,Texas,"50,000.00 - 65,000.00 $ /year",IT/Software Development
195,Florida,50.00 - 55.00 $ /hour,IT/Software Development
196,California,65.00 - 70.00 $ /hour,Experienced (Non-Manager)
197,Missouri,12.00 - 16.00 $ /hour,Experienced (Non-Manager)
198,New jersey,84.00 - 87.50 $ /hour,Experienced (Non-Manager)
199,Texas,"50,000.00 - 70,000.00 $ /year",Medical/Health
200,Connecticut,"45,000.00 - 60,000.00 $ /yearHealth Benefits",Experienced (Non-Manager)
201,California,"100,000.00 - 115,000.00 $ /year",Experienced (Non-Manager)
202,Maryland,"100,000.00 - 130,000.00 $ /year",IT/Software Development
203,Illinois,15.00 - 15.96 $ /hour,Medical/Health
204,Florida,"85,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
205,Texas,"62,000.00 - 78,000.00 $ /yearpaid time off, health/life insurance, 401K",Manager (Manager/Supervisor of Staff)
206,South carolina,40.00 - 49.00 $ /hour,IT/Software Development
207,Texas,18.00 - 20.00 $ /hour,Experienced (Non-Manager)
208,Ohio,23.00 - 23.00 $ /hour,Experienced (Non-Manager)
209,North Carolina,"80,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
210,California,55.00 - 60.00 $ /hour,Experienced (Non-Manager)
211,New hampshire,"75,000.00 - 85,000.00 $ /year",Medical/Health
212,New hampshire,38.00 - 44.00 $ /hour,Experienced (Non-Manager)
213,Texas,"17,688.94 - 20,971.00 $ /month",Manager (Manager/Supervisor of Staff)
214,New jersey,"35,000.00 - 45,000.00 $ /year",Experienced (Non-Manager)
215,Texas,"6,833.33 - 8,060.00 $ /month",Experienced (Non-Manager)
216,Texas,"4,224.31 - 6,579.41 $ /month",Experienced (Non-Manager)
217,Texas,"55,000.00 - 70,000.00 $ /year",Medical/Health
218,Ohio,"40,000.00 - 50,000.00 $ /year",Entry Level
219,Minnesota,"32,500.00 - 33,800.00 $ /yearpaid training, Paid Time Off (PTO), Health and Dental insurance options, flexible scheduling, mileage reimbursement, cell phone stipend, laptop computer",Entry Level
220,Ohio,"65,000.00 - 72,000.00 $ /year",Manager (Manager/Supervisor of Staff)
221,California,"85,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
222,New York,750.00 - 800.00 $ /year,Experienced (Non-Manager)
223,Kentucky,18.00 - 20.00 $ /hour,Experienced (Non-Manager)
224,Ohio,"60,000.00 - 65,000.00 $ /year",Entry Level
225,Ohio,"90,000.00 - 130,000.00 $ /year",IT/Software Development
226,Florida,30.00 - 33.00 $ /hour,IT/Software Development
227,Virginia,"70,000.00 - 75,000.00 $ /yearFull comprehensive benefits (PTO, Health, Dental, Vision, LTD, and 401K matching, etc)",Experienced (Non-Manager)
228,New York,"35,000.00 - 52,000.00 $ /year",Experienced (Non-Manager)
229,Texas,"4,905.22 - 6,579.41 $ /month",Experienced (Non-Manager)
230,Missouri,"70,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
231,Florida,45.00 - 55.00 $ /hour,IT/Software Development
232,Georgia,"80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
233,Florida,40.00 - 55.00 $ /yearCTP,Experienced (Non-Manager)
234,Texas,"185,000.00 - 195,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
235,Minnesota,"70.00 - 80.00 $ /yearFull benefits, 401k with company match.",Experienced (Non-Manager)
236,Florida,30.00 - 35.00 $ /hour,Entry Level
237,Virginia,18.00 - 21.00 $ /hour,Experienced (Non-Manager)
238,New York,40.00 - 40.00 $ /year,Manager (Manager/Supervisor of Staff)
239,Massachusetts,"84,000.00 - 104,000.00 $ /year",Experienced (Non-Manager)
240,Tennessee,"28,000.00 - 32,000.00 $ /year",Other
241,Tennessee,"85,000.00 - 100,000.00 $ /year",IT/Software Development
242,Tennessee,45.00 - 50.00 $ /hour,IT/Software Development
243,Tennessee,20.02 - 20.02 $ /hour,Legal
244,Texas,"54,000.00 - 75,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.? Do Not Hesitate, Apply Today.? Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
245,Texas,"64,000.00 - 90,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.? Do Not Hesitate, Apply Today.? Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
246,Tennessee,"75,000.00 - 90,000.00 $ /year",IT/Software Development
247,New hampshire,"60,000.00 - 70,000.00 $ /year",Experienced (Non-Manager)
248,Florida,12.00 - 13.00 $ /hour,Experienced (Non-Manager)
249,Missouri,12.00 - 12.00 $ /hour,Experienced (Non-Manager)
250,Illinois,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
251,Virginia,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
252,Texas,14.00 - 14.00 $ /hour,Medical/Health
253,Ohio,23.00 - 23.00 $ /hour,Medical/Health
254,Indiana,"30,000.00 - 40,000.00 $ /yearSalary based upon professional experience, profit share benefits, Life benefits, Medical insurance",Manager (Manager/Supervisor of Staff)
255,Florida,"75,000.00 - 85,000.00 $ /year",Experienced (Non-Manager)
256,Missouri,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
257,California,"80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
258,Massachusetts,"0.00 - 36,000.00 $ /year",Accounting/Finance/Insurance
259,Indiana,"40,000.00 - 50,000.00 $ /year",Accounting/Finance/Insurance
260,Kentucky,"40,000.00 - 65,000.00 $ /year",Food Services/Hospitality
261,Ohio,40.00 - 50.00 $ /hour,Systems Analysis - ITWeb/UI/UX Design
262,Ohio,"90,000.00 - 95,000.00 $ /year",IT/Software Development
263,Ohio,25.00 - 35.00 $ /hour,Experienced (Non-Manager)
264,Ohio,"0.00 - 75,000.00 $ /year",Customer Support/Client Care
265,Ohio,"50,000.00 - 70,000.00 $ /year",Account Management (Commissioned)Insurance Agent/BrokerFinancial Products Sales/Brokerage
266,Florida,"80,000.00 - 105,000.00 $ /year",Medical/Health
267,Illinois,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
268,Georgia,"40,000.00 - 100,000.00 $ /year",Sales/Retail/Business Development
269,Illinois,"85,000.00 - 85,000.00 $ /year",Experienced (Non-Manager)
270,Florida,25.00 - 35.00 $ /hour,Quality Assurance/Safety
271,Missouri,"40,000.00 - 50,000.00 $ /year",Experienced (Non-Manager)
272,New jersey,16.25 - 16.25 $ /hour,Experienced (Non-Manager)
273,Illinois,"40,000.00 - 42,000.00 $ /year",Experienced (Non-Manager)
274,Ohio,"38,000.00 - 48,000.00 $ /yearMedical Benefits",Experienced (Non-Manager)
275,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
276,Ohio,14.00 - 18.00 $ /hour,Experienced (Non-Manager)
277,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
278,Ohio,"55,000.00 - 60,000.00 $ /year",Entry Level
279,Ohio,8.10 - 12.26 $ /hour,Entry Level
280,Ohio,"150,000.00 - 155,000.00 $ /yearuncapped commission, full benefits, paid expenses",Experienced (Non-Manager)
281,Ohio,"75,000.00 - 90,000.00 $ /year",Experienced (Non-Manager)
282,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
283,Ohio,"82,064.00 - 106,683.00 $ /year",Manager (Manager/Supervisor of Staff)
284,Ohio,0.00 - 18.00 $ /hour,Medical/Health
285,Ohio,12.00 - 13.00 $ /hour,Entry Level
286,Ohio,"40,000.00 - 45,000.00 $ /year",Installation/Maintenance/Repair
287,Ohio,"14.00 - 16.00 $ /hourHousing Discount, Commision/Bonus",Experienced (Non-Manager)
288,Ohio,"60,000.00 - 70,000.00 $ /yearCommissions, Car Allowance, Bonus",Experienced (Non-Manager)
289,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
290,Ohio,"28,000.00 - 35,000.00 $ /year",Entry Level
291,Ohio,20.56 - 24.81 $ /hour,Installation/Maintenance/Repair
292,Ohio,"40,000.00 - 60,000.00 $ /year",Sales/Retail/Business Development
293,Ohio,"35,000.00 - 60,000.00 $ /year",Experienced (Non-Manager)
294,Ohio,"55,000.00 - 60,000.00 $ /year",Experienced (Non-Manager)
295,Ohio,"35,000.00 - 45,000.00 $ /yearBenefits Package, Relocation Support",Experienced (Non-Manager)
296,Ohio,20.00 - 22.00 $ /hour,Engineering
297,Ohio,"45,000.00 - 50,000.00 $ /yearCompetitive Benefits Package",Experienced (Non-Manager)
298,Ohio,"42,000.00 - 48,000.00 $ /year",Experienced (Non-Manager)
299,Ohio,"95,000.00 - 105,000.00 $ /year",Manager (Manager/Supervisor of Staff)
300,Ohio,"0.00 - 60,000.00 $ /year",Experienced (Non-Manager)
301,Ohio,"50,000.00 - 60,000.00 $ /year",Manager (Manager/Supervisor of Staff)
302,Ohio,"70,000.00 - 90,000.00 $ /year",IT/Software Development
303,Ohio,60.00 - 70.00 $ /hour,IT/Software Development
304,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
305,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
306,Ohio,50.00 - 55.00 $ /year,Experienced (Non-Manager)
307,Ohio,"51,000.00 - 51,000.00 $ /year",Customer Support/Client Care
308,Ohio,"55,000.00 - 60,000.00 $ /year",Entry Level
309,Ohio,"45,000.00 - 60,000.00 $ /yearCompetitive Benefits Salary, Relocation Support",Experienced (Non-Manager)
310,Ohio,"0.00 - 50,000.00 $ /yearQuarterly bonuses",Experienced (Non-Manager)
311,Ohio,9.00 - 11.00 $ /hour,Entry Level
312,Ohio,20.00 - 25.00 $ /hour,Experienced (Non-Manager)
313,Ohio,"50,000.00 - 150,000.00 $ /year",Sales/Retail/Business Development
314,Ohio,16.74 - 26.78 $ /hour,Entry Level
315,Ohio,"0.00 - 32,000.00 $ /year",Experienced (Non-Manager)
316,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
317,Ohio,"48,000.00 - 54,000.00 $ /year",Engineering
318,Ohio,"35,000.00 - 40,000.00 $ /yearPlus Bonus'",Experienced (Non-Manager)
319,Ohio,12.00 - 15.00 $ /hour,Entry Level
320,Ohio,"35,000.00 - 35,000.00 $ /year+ bonus",Experienced (Non-Manager)
321,Ohio,100.00 - 115.00 $ /hour,Experienced (Non-Manager)
322,Ohio,10.00 - 13.00 $ /hour,Student (High School)
323,Ohio,16.32 - 18.37 $ /hourCompetitive wage rate and benefits package available to full time employees,Experienced (Non-Manager)
324,Ohio,"35,000.00 - 40,000.00 $ /yearPlus take home truck, tools provided, benefits",Experienced (Non-Manager)
325,Ohio,"50,000.00 - 55,000.00 $ /year",Manager (Manager/Supervisor of Staff)
326,Ohio,14.00 - 18.00 $ /hour,Entry Level
327,Ohio,"50,000.00 - 70,000.00 $ /year",Marketing/Product
328,Ohio,"150,000.00 - 151,000.00 $ /year",Experienced (Non-Manager)
329,Ohio,"10.00 - 13.00 $ /hourPlus Commissions, Possible quarterly bonus after 1 year",Entry Level
330,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
331,Ohio,"110,000.00 - 130,000.00 $ /year",IT/Software Development
332,Ohio,"35,000.00 - 50,000.00 $ /yearBase + Commission",Experienced (Non-Manager)
333,Ohio,"25,000.00 - 50,000.00 $ /year",Sales/Retail/Business Development
334,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
335,Ohio,"60,000.00 - 60,000.00 $ /yearauto allowance & benefits",Experienced (Non-Manager)
336,Ohio,"40,000.00 - 50,000.00 $ /year",Manager (Manager/Supervisor of Staff)
337,Ohio,"30,000.00 - 55,000.00 $ /yearUncapped Commission, Bonus",Entry Level
338,Ohio,15.00 - 15.50 $ /year,Entry Level
339,Ohio,10.00 - 14.00 $ /hour,Student (High School)
340,Ohio,10.00 - 15.00 $ /hour,Entry Level
341,Ohio,0.00 - 23.00 $ /hour,Medical/Health
342,Ohio,10.00 - 13.00 $ /hour,Entry Level
343,Ohio,"35,000.00 - 45,000.00 $ /year",Manager (Manager/Supervisor of Staff)
344,Ohio,"80,000.00 - 95,000.00 $ /year",IT/Software Development
345,Ohio,"42,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
346,Ohio,14.00 - 17.00 $ /hourQuarterly Bonus,Experienced (Non-Manager)
347,California,13.00 - 20.00 $ /hourBonuses available. Salary is DOE,Experienced (Non-Manager)
348,New York,"65,000.00 - 80,000.00 $ /year",Experienced (Non-Manager)
349,California,"90,000.00 - 120,000.00 $ /year",Experienced (Non-Manager)
350,New York,"130,000.00 - 150,000.00 $ /year",Manager (Manager/Supervisor of Staff)
351,Texas,"25,000.00 - 30,000.00 $ /year",Experienced (Non-Manager)
352,Massachusetts,"70,000.00 - 75,000.00 $ /year",Legal
